Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
148,Jarred Kelenic*,24,ATL,NL,0.4,130,448,411,49,94,18,2,15,44,7,2,32,133,.229,.284,.392,.676,86,.300,85,161,5,1,1,3,1,*78H/9,,kelenja01
149,Wyatt Langford,22,TEX,AL,3.6,132,547,490,71,124,25,4,15,73,18,3,50,114,.253,.325,.412,.738,111,.328,109,202,6,4,0,3,3,*7D8,,langfwy01
150,Trevor Larnach*,27,MIN,AL,1.4,112,400,355,59,92,17,0,15,52,4,1,40,89,.259,.338,.434,.771,115,.341,116,154,12,3,0,2,1,7D9H,,larnatr01
151,Max Muncy*,33,LAD,NL,2.9,71,283,229,47,53,15,0,15,46,1,0,43,75,.231,.357,.493,.850,140,.360,135,113,1,5,0,6,3,5/H,,muncyma01
152,Jeremy Peña,26,HOU,AL,4.2,156,645,597,78,160,28,2,15,70,20,6,25,109,.268,.310,.397,.707,102,.314,101,237,15,14,3,6,1,*6,,penaje02
153,Ceddanne Rafaela,23,BOS,AL,2.7,151,568,541,70,132,23,5,15,75,19,9,15,150,.244,.272,.388,.660,81,.299,84,210,8,7,2,3,1,864/5H9,,rafaece01
154,Gleyber Torres,27,NYY,AL,1.5,153,661,584,78,149,24,0,15,63,4,3,64,135,.255,.328,.373,.701,99,.315,101,218,6,3,2,8,0,*4/H,,torregl01
155,Masyn Winn,22,STL,NL,4.8,149,631,582,83,155,31,5,15,56,11,5,40,109,.266,.312,.414,.726,101,.317,100,241,1,1,3,5,1,*6/HD,,winnma01
156,Lane Thomas,28,2TM,2LG,0.5,129,524,468,65,112,26,3,15,63,32,14,44,137,.239,.311,.404,.715,102,.317,103,189,5,7,0,5,1,*98/HD,,thomala02
157,Lane Thomas,28,WSN,NL,0.5,77,341,300,42,76,16,3,8,40,28,12,32,72,.253,.331,.407,.738,109,.333,115,122,4,5,0,4,0,9/8D,,thomala02
158,Lane Thomas,28,CLE,AL,-0.1,52,183,168,23,36,10,0,7,23,4,2,12,65,.214,.273,.399,.672,89,.286,81,67,1,2,0,1,1,89/HD,,thomala02
159,Will Benson*,26,CIN,NL,-1.2,128,388,343,41,64,19,2,14,43,16,7,40,154,.187,.274,.376,.650,76,.285,71,129,3,2,1,2,0,*798H/D,,bensowi01
160,Seth Brown*,31,OAK,AL,-0.4,122,391,363,30,84,10,1,14,44,4,2,25,109,.231,.284,.380,.664,92,.292,90,138,7,2,0,1,0,739H/D8,,brownse01
161,Carlos Correa,29,MIN,AL,3.8,86,367,319,55,99,20,2,14,54,0,0,40,61,.310,.388,.517,.905,152,.393,155,165,5,3,0,4,4,6/DH,AS,correca01
162,Travis d'Arnaud,35,ATL,NL,1.1,96,331,297,38,70,16,0,14,47,1,0,24,84,.236,.302,.431,.733,101,.319,99,128,8,6,0,4,0,2H,,darnatr01
163,Yandy Díaz,32,TBR,AL,1.5,144,616,560,53,157,31,1,14,65,0,0,48,94,.280,.339,.414,.754,116,.335,118,232,12,4,0,4,0,*3D/H,,diazya01
164,David Fry,28,CLE,AL,1.4,122,392,335,44,88,18,1,14,51,4,1,42,84,.263,.356,.448,.804,128,.352,128,150,13,9,0,4,4,DH237/59,AS,fryda01
165,Steven Kwan*,26,CLE,AL,3.8,122,540,480,83,140,16,3,14,44,12,5,53,51,.292,.368,.425,.793,126,.352,128,204,5,5,2,0,0,*7/DH,AS,kwanst01
166,Nathaniel Lowe*,28,TEX,AL,2.0,138,555,478,57,124,14,1,14,64,2,0,69,125,.259,.355,.381,.736,112,.332,116,182,9,4,0,4,0,*3/HD,,lowena01
167,Mickey Moniak*,26,LAA,AL,-0.1,124,418,392,48,86,17,2,14,49,8,4,21,114,.219,.266,.380,.646,81,.283,78,149,3,4,0,1,0,*89H/D7,,moniami01
168,Ryan O'Hearn*,30,BAL,AL,1.6,140,486,436,57,113,21,3,14,57,3,1,45,67,.259,.329,.417,.747,118,.331,121,182,7,2,0,3,2,3DH9/7,,ohearry01
169,J.T. Realmuto,33,PHI,NL,3.1,98,409,377,50,100,18,1,14,47,2,2,26,100,.265,.320,.430,.750,109,.330,111,162,7,5,0,1,1,2,,realmjt01
170,Hunter Renfroe,32,KCR,AL,-0.1,119,420,381,43,87,18,0,14,51,1,1,36,82,.228,.298,.386,.683,91,.306,93,147,9,2,0,1,0,*9/HD3,,renfrhu01
171,Luis Robert Jr.,26,CHW,AL,1.4,99,420,388,46,87,19,0,14,35,22,6,28,140,.224,.279,.381,.661,88,.299,88,148,8,2,0,1,2,8/DH,,roberlu01
172,Jesse Winker*,30,2TM,NL,2.0,145,508,430,63,109,23,0,14,58,14,4,63,106,.253,.360,.405,.764,118,.344,122,174,12,10,2,3,2,7DH9,,winkeje01
173,Jesse Winker*,30,WSN,NL,1.9,101,379,315,51,81,18,0,11,45,14,4,53,84,.257,.374,.419,.793,126,.357,131,132,9,7,2,2,2,7D/H9,,winkeje01
174,Jesse Winker*,30,NYM,NL,0.1,44,129,115,12,28,5,0,3,13,0,0,10,22,.243,.318,.365,.683,95,.303,95,42,3,3,0,1,0,97HD,,winkeje01
175,Joey Bart,27,PIT,NL,2.1,79,278,249,37,65,10,0,13,44,0,0,22,71,.261,.335,.458,.792,118,.346,119,114,8,6,0,1,0,2D/H,,bartjo01
176,Brendan Donovan*,27,STL,NL,2.3,151,642,579,63,158,33,3,13,69,5,5,45,81,.273,.336,.408,.744,107,.325,107,236,4,13,0,5,0,74/5DH9,,donovbr01
177,TJ Friedl*,28,CIN,NL,0.5,83,333,289,35,65,5,1,13,55,9,1,26,52,.225,.311,.384,.695,90,.316,90,111,1,12,2,4,0,8/HD,,friedtj01
178,Hunter Goodman,24,COL,NL,-0.8,69,222,209,24,40,9,0,13,36,1,1,8,64,.191,.230,.421,.651,71,.272,61,88,5,3,0,2,0,92DH/73,,goodmhu01
179,Jonah Heim#,29,TEX,AL,1.1,129,484,452,45,99,12,0,13,57,1,1,26,90,.219,.267,.332,.598,71,.267,69,150,13,4,0,2,0,*2D/H,,heimjo01
180,Colt Keith*,22,DET,AL,1.1,146,550,510,54,133,15,4,13,61,7,1,36,109,.261,.311,.382,.693,97,.309,96,195,4,2,0,2,2,*4DH,,keithco01
181,Michael Massey*,26,KCR,AL,1.5,98,351,328,44,85,17,2,13,42,1,0,14,55,.259,.292,.442,.734,103,.325,106,145,9,3,2,4,1,4HD,,massemi02
182,Jake Meyers,28,HOU,AL,1.8,147,509,457,50,100,20,3,13,61,11,3,35,117,.219,.287,.361,.648,85,.289,83,165,17,10,3,4,0,*8H/7D,,meyerja02
183,Ryan Mountcastle,27,BAL,AL,2.6,122,498,465,54,126,30,2,13,62,3,0,27,110,.271,.309,.428,.737,114,.325,115,199,13,1,0,5,0,*3H/D,,mountry01
184,Bo Naylor*,24,CLE,AL,0.8,122,385,350,39,71,10,2,13,39,6,3,29,120,.203,.266,.354,.621,75,.275,73,124,3,2,2,2,1,*2H/D,,naylobo01
185,Jhonkensy Noel,22,CLE,AL,0.8,66,194,175,25,38,7,1,13,28,0,0,13,62,.217,.289,.491,.780,117,.335,116,86,1,5,0,1,0,9H/3D7,,noeljh01
186,Andy Pages,23,LAD,NL,1.5,114,437,398,64,100,23,1,13,46,1,2,28,105,.251,.307,.412,.719,104,.312,103,164,8,6,0,4,0,*89/H7D,,pagesan01
187,Brendan Rodgers,27,COL,NL,1.1,135,539,501,67,134,29,1,13,54,1,0,31,132,.267,.314,.407,.721,94,.317,92,204,12,4,1,2,1,*4/DH,,rodgebr02
188,Keibert Ruiz#,25,WSN,NL,0.5,126,481,455,45,103,21,0,13,56,3,1,16,53,.226,.258,.358,.616,73,.269,69,163,13,5,0,5,0,*2D/H,,ruizke01
189,Nolan Schanuel*,22,LAA,AL,1.4,147,607,519,62,130,19,0,13,54,10,1,68,103,.250,.343,.362,.706,101,.321,103,188,14,9,3,7,0,*3/HD,,schanno01
190,Davis Schneider,25,TOR,AL,0.3,133,447,391,48,76,19,1,13,46,6,0,46,141,.194,.284,.348,.632,80,.283,77,136,2,5,0,5,0,74H/D,,schneda03
191,Jon Singleton*,32,HOU,AL,0.3,118,400,352,46,83,13,1,13,41,0,0,45,110,.236,.320,.389,.709,103,.318,106,137,2,0,0,3,0,3HD,,singljo02
192,Josh Smith*,26,TEX,AL,3.4,147,582,513,67,134,29,1,13,60,11,2,46,119,.261,.341,.398,.739,112,.333,114,204,6,18,2,3,1,56DH/749,,smithjo11
193,Rowdy Tellez*,29,PIT,NL,-0.4,131,421,383,38,93,18,0,13,56,1,0,31,89,.243,.299,.392,.691,91,.305,89,150,12,2,0,5,0,*3H/1,,tellero01
194,Alex Verdugo*,28,NYY,AL,0.8,148,617,555,74,129,28,1,13,59,1,1,49,92,.232,.291,.357,.648,83,.288,81,198,14,1,2,10,0,*7/98,,verdual01
195,Matt Wallner*,26,MIN,AL,2.2,75,261,220,26,57,17,1,13,37,3,0,24,95,.259,.372,.523,.894,148,.387,149,115,2,16,0,1,0,97DH/1,,wallnma01
196,Austin Wells*,24,NYY,AL,2.5,113,407,350,40,81,18,1,13,55,1,2,45,87,.231,.320,.400,.720,103,.318,104,140,9,4,1,7,0,*2H/D,,wellsau01
197,Connor Wong,28,BOS,AL,1.5,125,483,443,54,124,23,1,13,51,8,7,28,114,.280,.334,.424,.758,110,.328,108,188,7,9,1,2,1,23DH/47,,wongco01
198,Ty France,29,2TM,2LG,-0.3,138,528,472,46,112,24,0,13,51,1,1,38,114,.237,.309,.371,.679,95,.305,98,175,16,13,0,5,0,*3/DH4,,francty01
199,Ty France,29,SEA,AL,-0.1,88,340,300,28,67,14,0,8,31,0,1,28,83,.223,.312,.350,.662,96,.300,102,105,11,11,0,1,0,3/H4D,,francty01
200,Ty France,29,CIN,NL,-0.2,50,188,172,18,45,10,0,5,20,1,0,10,31,.262,.303,.407,.710,93,.313,91,70,5,2,0,4,0,3/DH,,francty01
201,Harrison Bader,30,NYM,NL,1.1,139,429,394,57,95,19,0,12,51,17,8,21,91,.241,.289,.381,.670,90,.293,87,150,6,8,0,6,1,*8H/D,,baderha01
202,Jake Bauers*,28,MIL,NL,-0.4,114,340,297,44,59,9,2,12,43,13,1,38,116,.199,.300,.364,.664,83,.301,80,108,0,5,0,0,1,3HD9/71,,bauerja01
203,Charlie Blackmon*,37,COL,NL,0.7,122,493,443,58,113,24,5,12,52,6,2,43,84,.255,.329,.413,.742,100,.329,100,183,4,6,0,1,2,D9H,,blackch02
204,Triston Casas*,24,BOS,AL,0.4,61,235,204,27,49,8,0,12,30,0,1,30,75,.240,.340,.456,.796,119,.339,115,93,6,1,0,0,4,3/HD,,casastr01
205,Willi Castro#,27,MIN,AL,1.6,157,632,555,89,137,31,5,12,60,14,9,51,150,.247,.331,.386,.717,101,.326,108,214,8,21,1,4,0,64785/H1,AS,castrwi01
206,Ernie Clement,28,TOR,AL,3.8,137,445,427,48,113,21,3,12,51,12,3,11,40,.265,.287,.412,.699,97,.320,104,176,10,3,2,2,1,56H/4D17,,clemeer01
207,Mitch Haniger,33,SEA,AL,0.0,119,417,375,42,79,12,0,12,44,0,0,39,123,.211,.288,.339,.626,85,.283,89,127,10,2,0,1,0,9DH,,hanigmi01
208,Spencer Horwitz*,26,TOR,AL,1.4,95,373,321,46,86,19,0,12,40,0,0,41,70,.268,.359,.439,.799,128,.349,127,141,8,7,0,4,2,34DH,,horwisp01
209,Korey Lee,25,CHW,AL,0.2,124,389,372,36,78,14,1,12,35,5,3,17,122,.210,.244,.349,.594,68,.265,68,130,12,0,0,0,0,*2H/D,,leeko01
210,Jeff McNeil*,32,NYM,NL,1.6,129,472,424,57,101,26,0,12,44,5,1,35,68,.238,.308,.384,.692,97,.308,97,163,6,9,1,3,1,*497/H,,mcneije01
211,Lars Nootbaar*,26,STL,NL,1.3,107,396,341,39,85,18,3,12,45,7,3,50,76,.249,.344,.425,.770,114,.338,114,145,10,1,1,3,2,978/H,,nootbla01
212,Leody Taveras#,25,TEX,AL,0.4,149,520,473,58,108,17,3,12,44,22,6,40,111,.228,.286,.353,.639,83,.292,84,167,7,0,3,4,0,*8/HD,,taverle01
213,Anthony Volpe,23,NYY,AL,3.2,158,684,634,90,155,27,7,12,60,27,5,40,155,.244,.292,.366,.658,86,.297,84,232,9,4,2,3,1,*6/H,,volpean01
214,Francisco Alvarez,22,NYM,NL,1.2,97,333,300,37,70,13,2,11,44,1,1,30,85,.233,.306,.400,.706,100,.318,106,120,7,2,0,1,0,2/HD,,alvarfr01
215,Xander Bogaerts,31,SDP,NL,1.1,110,459,424,50,111,15,1,11,44,13,3,28,79,.262,.305,.380,.685,91,.305,89,161,13,1,0,6,0,46/DH,,bogaexa01
216,Jonah Bride,28,MIA,NL,0.7,69,264,225,29,61,10,0,11,36,0,1,29,54,.271,.352,.462,.814,120,.353,120,104,9,3,0,7,1,3D5/4H,,bridejo01
217,Adam Duvall,35,ATL,NL,-1.4,104,330,303,29,55,10,0,11,30,0,0,21,99,.182,.245,.323,.569,57,.262,59,98,6,5,0,1,0,79H/D,,duvalad01
218,Randal Grichuk,32,ARI,NL,2.0,104,273,248,37,72,20,2,11,44,0,0,20,46,.290,.348,.520,.868,138,.374,140,129,5,3,0,2,0,9DH7,,grichra01
219,Kiké Hernández,32,LAD,NL,1.2,124,383,353,42,80,16,0,11,39,0,0,26,77,.227,.277,.365,.643,82,.290,85,129,13,0,1,3,0,5H3784/61D,,hernaen02
220,Ha-Seong Kim,28,SDP,NL,2.5,121,470,403,60,94,16,3,11,47,22,5,58,77,.233,.330,.370,.700,96,.317,96,149,8,2,4,3,4,*6/H,,kimha01
221,Joey Ortiz,25,MIL,NL,2.7,140,504,434,58,104,25,6,11,57,10,6,55,100,.240,.329,.401,.730,102,.318,99,174,9,6,3,6,0,*5/6H4,,ortizjo06
222,Rob Refsnyder,33,BOS,AL,0.8,93,307,272,32,77,16,1,11,40,2,2,28,78,.283,.359,.471,.830,129,.354,126,128,6,5,0,1,2,79HD,,refsnro01
223,Gary Sánchez,31,MIL,NL,0.2,87,275,241,30,53,7,1,11,37,0,0,26,74,.220,.305,.394,.700,93,.312,94,95,9,5,0,3,0,D2H/3,,sanchga02
224,Bryson Stott*,26,PHI,NL,2.6,146,563,498,65,123,19,2,11,56,32,3,53,92,.247,.318,.359,.677,90,.311,89,179,9,3,0,9,1,*46H/D,,stottbr01
225,Ramón Urías,30,BAL,AL,1.2,98,294,265,37,67,9,2,11,37,1,1,23,55,.253,.323,.426,.750,118,.327,119,113,0,5,0,1,0,5/HD34,,uriasra01
226,Christian Yelich*,32,MIL,NL,2.2,73,315,270,44,85,12,3,11,42,21,1,40,58,.315,.406,.504,.909,151,.404,151,136,3,2,1,1,3,7D,AS,yelicch01
227,Justin Turner,39,2TM,AL,1.3,137,535,457,59,118,23,0,11,52,0,2,59,94,.258,.353,.381,.734,113,.326,115,174,16,12,0,7,2,D3H/5,,turneju01
228,Justin Turner,39,TOR,AL,0.3,91,349,301,37,77,17,0,6,31,0,2,39,60,.256,.350,.372,.722,107,.321,109,112,15,6,0,3,0,D3/H5,,turneju01
229,Justin Turner,39,SEA,AL,1.1,46,186,156,22,41,6,0,5,21,0,0,20,34,.263,.360,.397,.758,125,.337,128,62,1,6,0,4,2,3D/H5,,turneju01
230,Pete Crow-Armstrong*,22,CHC,NL,2.5,121,402,365,46,87,13,6,10,46,27,3,21,98,.238,.289,.389,.678,89,.303,82,142,4,6,7,3,2,*8H,,crowape01
231,Josh Lowe*,26,TBR,AL,0.8,104,378,345,36,83,19,2,10,32,25,1,31,119,.241,.302,.394,.696,98,.316,94,136,2,0,0,2,4,97/HD8,,lowejo01
232,Gavin Lux*,26,LAD,NL,1.9,138,481,434,56,107,23,2,10,49,5,2,43,109,.247,.316,.378,.694,98,.310,100,164,8,2,0,2,0,*4H/6,,luxga01
233,Dylan Moore,31,SEA,AL,2.2,133,435,365,53,74,23,4,10,42,31,6,50,123,.203,.318,.370,.688,104,.322,109,135,8,14,1,5,0,6547H3,,mooredy01
234,Sean Murphy,29,ATL,NL,1.0,70,257,228,18,45,5,1,10,25,0,0,25,66,.197,.284,.360,.644,78,.296,83,82,7,3,0,1,1,2/H,,murphse01
235,Jake Rogers,29,DET,AL,1.2,101,334,307,43,61,16,1,10,36,1,0,22,99,.199,.257,.355,.613,73,.272,70,109,6,3,0,2,1,2/DH,,rogerja03
236,Gavin Sheets*,28,CHW,AL,-0.9,139,501,451,35,105,24,1,10,45,2,2,43,106,.233,.303,.357,.660,89,.292,88,161,6,4,0,3,2,93DH,,sheetga01
237,Spencer Torkelson,24,DET,AL,0.2,90,374,337,44,74,21,1,10,36,0,0,31,103,.220,.292,.377,.669,89,.292,85,127,6,4,0,1,0,3/D,,torkesp01
238,Mike Trout,32,LAA,AL,1.1,29,126,109,17,24,1,2,10,14,6,1,16,27,.220,.325,.541,.867,140,.372,136,59,0,1,0,0,1,8/D,,troutmi01
239,Masataka Yoshida*,30,BOS,AL,1.4,108,421,378,45,106,21,0,10,56,2,0,27,52,.280,.349,.415,.765,112,.341,114,157,6,14,0,2,0,DH/7,,yoshima02
240,Eddie Rosario*,32,2TM,NL,-1.6,91,319,297,33,52,12,0,10,35,9,1,16,77,.175,.215,.316,.531,48,.240,43,94,4,0,2,4,0,79D8/H,,rosared01
241,Eddie Rosario*,32,WSN,NL,-1.2,67,235,219,26,40,11,0,7,26,8,1,13,54,.183,.226,.329,.555,56,.254,54,72,4,0,1,2,0,97D8/H,,rosared01
242,Eddie Rosario*,32,ATL,NL,-0.4,24,84,78,7,12,1,0,3,9,1,0,3,23,.154,.181,.282,.463,26,.202,12,22,0,0,1,2,0,7/H,,rosared01
243,Ramón Laureano,29,2TM,2LG,1.0,94,292,270,34,70,16,1,10,31,8,3,14,88,.259,.312,.437,.749,107,.335,113,118,5,7,0,1,0,97H8,,laurera01
244,Ramón Laureano,29,CLE,AL,0.0,31,83,70,7,10,3,0,1,4,3,1,7,32,.143,.265,.229,.494,43,.248,52,16,1,5,0,1,0,98/H,,laurera01
245,Ramón Laureano,29,ATL,NL,1.0,63,209,200,27,60,13,1,9,27,5,2,7,56,.300,.330,.510,.840,130,.370,136,102,4,2,0,0,0,97/H8,,laurera01
246,Jason Heyward*,34,2TM,2LG,1.1,86,253,224,33,47,11,2,10,37,5,0,21,52,.210,.286,.411,.696,97,.302,91,92,3,4,0,3,2,9H/78,,heywaja01
247,Jason Heyward*,34,LAD,NL,0.8,63,197,173,25,36,10,2,6,28,4,0,17,36,.208,.289,.393,.682,93,.300,89,68,3,4,0,3,0,9/H8,,heywaja01
248,Jason Heyward*,34,HOU,AL,0.3,23,56,51,8,11,1,0,4,9,1,0,4,16,.216,.273,.471,.743,108,.309,96,24,0,0,0,0,2,9/7H8,,heywaja01
249,Ozzie Albies#,27,ATL,NL,1.4,95,417,384,50,97,28,1,9,48,8,1,24,64,.253,.302,.401,.703,94,.312,92,154,5,5,0,4,0,4,,albieoz01
250,José Caballero,27,TBR,AL,1.7,138,479,437,53,99,24,1,9,44,44,16,27,133,.227,.284,.348,.631,81,.292,84,152,6,9,3,3,1,654H/D,,cabaljo01
251,J.P. Crawford*,29,SEA,AL,2.6,103,443,384,53,77,16,2,9,37,5,0,52,100,.201,.305,.323,.628,87,.287,89,124,4,6,0,1,0,6/HD,,crawfjp01
252,Santiago Espinal,29,CIN,NL,-0.3,117,388,354,32,88,12,0,9,45,11,1,24,54,.249,.297,.359,.656,79,.296,75,127,7,2,4,4,1,54HD/679,,espinsa01
253,Thairo Estrada,28,SFG,NL,-0.6,96,381,364,43,79,15,2,9,47,2,2,10,76,.217,.247,.343,.590,68,.263,69,125,8,5,0,2,0,4/DH,,estrath01
254,Joey Gallo*,30,WSN,NL,0.2,74,253,217,23,35,9,0,9,24,3,1,31,101,.161,.277,.327,.604,72,.279,76,71,1,4,0,1,0,3/9HD7,,gallojo01
255,Andrés Giménez*,25,CLE,AL,4.0,151,629,579,64,146,22,1,9,63,30,5,26,96,.252,.299,.340,.639,82,.295,82,197,11,15,3,6,1,*4,,gimenan01
256,Sam Hilliard*,30,COL,NL,0.3,56,151,133,25,32,5,1,9,26,5,2,13,54,.241,.304,.496,.800,112,.342,110,66,2,0,3,2,1,789/HD,,hillisa01
257,Connor Joe,31,PIT,NL,0.6,123,416,364,49,83,22,1,9,36,2,2,44,91,.228,.320,.368,.688,92,.306,91,134,7,6,0,2,1,39H/7D,,joeco01
258,Parker Meadows*,24,DET,AL,2.0,80,290,263,38,64,12,6,9,28,9,4,24,74,.243,.308,.437,.745,110,.325,108,115,0,1,1,1,0,8/H,,meadopa01
259,José Miranda,26,MIN,AL,1.7,121,429,401,44,114,28,4,9,49,2,2,18,66,.284,.322,.441,.763,112,.332,112,177,13,6,0,4,1,5DH3/6,,miranjo01
260,Wenceel Pérez#,24,DET,AL,0.7,110,417,382,51,91,16,5,9,37,9,5,31,90,.238,.296,.377,.673,91,.298,90,144,5,1,2,1,0,98H/D7,,perezwe01
261,Pavin Smith*,28,ARI,NL,0.8,60,158,137,26,37,11,0,9,36,1,0,18,31,.270,.348,.547,.896,145,.382,144,75,4,0,0,3,0,397H/D1,,smithpa04
262,Jacob Stallings,34,COL,NL,1.8,82,281,243,31,64,17,1,9,36,0,0,27,65,.263,.357,.453,.810,118,.354,119,110,10,9,1,1,1,2/HD,,stallja01
263,Jack Suwinski*,25,PIT,NL,-1.8,88,277,247,29,45,8,0,9,26,9,1,27,79,.182,.264,.324,.588,63,.277,65,80,3,1,1,1,2,879H,,suwinja01
264,Carson Kelly,29,2TM,AL,0.6,90,308,276,32,67,9,1,9,37,0,0,25,54,.243,.318,.380,.699,99,.307,97,105,5,6,0,1,0,2/DH,,kellyca02
265,Carson Kelly,29,DET,AL,0.7,60,203,179,21,43,4,1,7,29,0,0,17,40,.240,.325,.391,.716,103,.315,102,70,3,6,0,1,0,2/HD,,kellyca02
266,Carson Kelly,29,TEX,AL,-0.2,30,105,97,11,24,5,0,2,8,0,0,8,14,.247,.305,.361,.666,91,.291,87,35,2,0,0,0,0,2/DH,,kellyca02
267,Danny Jansen,29,2TM,AL,0.7,91,321,275,35,57,13,0,9,24,0,0,40,61,.207,.312,.353,.664,89,.305,93,97,4,3,0,3,0,2H/D,,janseda01
268,Danny Jansen,29,TOR,AL,0.6,62,228,198,27,42,13,0,6,18,0,0,25,42,.212,.303,.369,.671,91,.300,92,73,1,2,0,3,0,2/HD,,janseda01
269,Danny Jansen,29,BOS,AL,0.1,29,93,77,8,15,0,0,3,6,0,0,15,19,.195,.333,.312,.645,82,.317,97,24,3,1,0,0,0,2/HD,,janseda01
270,Connor Norby,24,2TM,2LG,0.4,43,185,169,32,42,9,0,9,20,3,3,15,60,.249,.308,.462,.770,109,.324,104,78,2,0,0,1,0,54/D,,norbyco01
271,Connor Norby,24,BAL,AL,0.1,9,32,32,3,6,1,0,2,3,0,0,0,12,.188,.188,.406,.594,68,.247,60,13,1,0,0,0,0,/4,,norbyco01
272,Connor Norby,24,MIA,NL,0.4,34,153,137,29,36,8,0,7,17,3,3,15,48,.263,.333,.474,.808,117,.340,113,65,1,0,0,1,0,5/D4,,norbyco01
273,Tommy Pham,36,3TM,2LG,-0.3,115,474,436,48,108,19,3,9,39,7,3,35,105,.248,.306,.367,.673,91,.308,96,160,5,2,0,1,0,978/HD,,phamth01
274,Tommy Pham,36,2TM,AL,0.0,92,397,368,41,94,16,2,7,27,7,3,28,89,.255,.310,.367,.677,93,.312,100,135,3,1,0,0,0,987/DH,,phamth01
275,Tommy Pham,36,CHW,AL,0.0,70,297,271,33,72,14,1,5,19,6,3,25,63,.266,.330,.380,.710,104,.327,112,103,2,1,0,0,0,987/HD,,phamth01
276,Tommy Pham,36,STL,NL,-0.3,23,77,68,7,14,3,1,2,12,0,0,7,16,.206,.286,.368,.653,81,.285,76,25,2,1,0,1,0,7/9HD,,phamth01
277,Tommy Pham,36,KCR,AL,0.0,22,100,97,8,22,2,1,2,8,1,0,3,26,.227,.250,.330,.580,62,.271,65,32,1,0,0,0,0,7/9D,,phamth01
278,Miguel Amaya,25,CHC,NL,1.6,116,359,324,32,75,13,2,8,47,0,0,23,62,.231,.288,.358,.646,81,.293,84,116,5,4,5,3,0,*2/H,,amayami01
279,Patrick Bailey#,25,SFG,NL,1.8,120,444,398,45,93,16,1,8,44,3,0,39,99,.234,.298,.339,.637,84,.286,84,135,9,0,1,6,0,*2H/D,,bailepa01
280,Will Brennan*,26,CLE,AL,-0.4,113,349,326,35,84,11,2,8,30,4,2,19,48,.258,.304,.377,.681,93,.301,92,123,9,3,0,1,2,97HD/8,,brennwi02
281,Oswaldo Cabrera#,25,NYY,AL,1.4,107,322,295,46,73,11,0,8,36,4,2,21,62,.247,.297,.366,.663,87,.300,90,108,6,1,2,3,0,5H43/6791,,cabreos01
282,Luis Campusano,25,SDP,NL,-0.7,91,299,277,37,63,13,0,8,40,0,0,20,41,.227,.281,.361,.642,78,.287,78,100,11,1,0,1,0,2H/3,,campulu01
283,Dominic Canzone*,26,SEA,AL,0.2,67,188,168,20,33,7,0,8,17,1,0,18,53,.196,.271,.381,.652,91,.290,92,64,5,0,0,2,2,97H/D,,canzodo01
284,Victor Caratini#,30,HOU,AL,1.2,86,269,241,29,65,8,1,8,30,0,1,22,51,.270,.335,.411,.745,113,.326,113,99,6,3,0,3,1,2H3/D,,caratvi01
285,Trent Grisham*,27,NYY,AL,0.1,75,205,175,20,32,8,0,8,28,1,1,22,55,.183,.286,.366,.651,84,.298,89,64,5,4,1,2,1,8H/D,,grishtr01
286,Stuart Fairchild,28,CIN,NL,1.0,94,233,209,33,45,8,0,8,30,13,1,17,60,.215,.286,.368,.654,78,.313,84,77,1,4,2,1,0,8H97/D,,faircst01
287,Nick Gordon*,28,MIA,NL,-1.7,95,275,260,29,59,11,1,8,32,5,5,11,67,.227,.258,.369,.627,68,.263,58,96,5,1,0,3,0,7H8/49D,,gordoni01
288,Yasmani Grandal#,35,PIT,NL,0.4,71,239,211,23,46,10,0,8,25,1,0,24,45,.218,.297,.379,.676,87,.316,97,80,7,0,3,1,0,2/H3,,grandya01
289,David Hamilton*,26,BOS,AL,2.6,98,317,294,47,73,17,1,8,28,33,4,22,80,.248,.303,.395,.697,92,.331,94,116,1,1,0,0,0,64H,,hamilda03
290,Kyle Isbel*,27,KCR,AL,1.8,135,423,382,62,88,13,8,8,42,11,2,26,86,.230,.287,.369,.656,83,.297,83,141,4,5,8,2,0,*8H,,isbelky01
291,Edouard Julien*,25,MIN,AL,0.0,92,293,259,36,53,9,0,8,21,6,0,32,99,.205,.297,.332,.629,77,.294,80,86,2,2,0,0,0,4H/D3,,julieed01
292,Max Kepler*,31,MIN,AL,1.0,105,399,368,43,93,21,1,8,42,1,0,22,80,.253,.302,.380,.682,91,.315,98,140,3,5,0,3,0,9H/D,,keplema01
293,Justyn-Henry Malloy,24,DET,AL,-0.4,70,229,201,18,41,7,1,8,21,1,1,23,84,.204,.293,.368,.661,87,.290,85,74,2,3,0,2,0,D7H/9,,malloju02
294,Jake McCarthy*,26,ARI,NL,1.7,140,487,434,65,123,12,7,8,54,25,6,31,77,.283,.349,.399,.747,108,.334,107,173,4,14,5,3,1,*987H/D,,mccarja02
295,Garrett Mitchell*,25,MIL,NL,2.0,67,219,192,32,49,12,3,8,21,10,4,25,68,.255,.344,.474,.818,124,.355,124,91,1,1,1,0,0,89H/D,,mitchga01
296,David Peralta*,36,SDP,NL,0.8,89,252,229,34,62,11,0,8,28,2,0,21,49,.271,.337,.424,.761,112,.340,115,97,3,2,0,0,0,9HD/7,,peralda01
